,SEMESTER,SPRADDR_ZIP_PR,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,Fall 2012,96766,Kaua`i Community College,73,2012
2,Fall 2012,96792,Leeward Community College,504,2012
9,Fall 2012,96744,Windward Community College,463,2012
30,Fall 2012,96822,University of Hawai`i at Manoa,101,2012
35,Fall 2012,96790,University of Hawai`i at Manoa,20,2012
47,Fall 2012,96789,Honolulu Community College,64,2012
49,Fall 2012,96822,Honolulu Community College,22,2012
51,Fall 2012,96789,Leeward Community College,21,2012
54,Fall 2012,96819,University of Hawai`i at Manoa,5,2012
57,Fall 2012,96720,University of Hawai`i at Hilo,24,2012
62,Fall 2012,96762,University of Hawai`i at Manoa,13,2012
71,Fall 2012,96797,Leeward Community College,4,2012
78,Fall 2012,96825,Honolulu Community College,17,2012
86,Fall 2012,92867,University of Hawai`i at Manoa,1,2012
96,Fall 2012,93455,University of Hawai`i at Hilo,1,2012
106,Fall 2012,96707,University of Hawai`i - West O`ahu,44,2012
116,Fall 2012,96779,University of Hawai`i Maui College,17,2012
125,Fall 2012,96819,University of Hawai`i - West O`ahu,6,2012
131,Fall 2012,96766,Leeward Community College,8,2012
140,Fall 2012,96744,University of Hawai`i at Manoa,2,2012
153,Fall 2012,96820,Kapi`olani Community College,4,2012
164,Fall 2012,96826,Leeward Community College,7,2012
173,Fall 2012,96815,Kapi`olani Community College,46,2012
178,Fall 2012,96730,Windward Community College,20,2012
180,Fall 2012,96732,University of Hawai`i at Hilo,10,2012
187,Fall 2012,96746,Kaua`i Community College,32,2012
192,Fall 2012,96818,Kapi`olani Community College,5,2012
194,Fall 2012,96790,University of Hawai`i Maui College,10,2012
198,Fall 2012,96729,University of Hawai`i - West O`ahu,5,2012
201,Fall 2012,96826,Honolulu Community College,17,2012
202,Fall 2012,96730,University of Hawai`i at Manoa,6,2012
203,Fall 2012,96797,University of Hawai`i at Hilo,9,2012
208,Fall 2012,96709,Kapi`olani Community College,1,2012
230,Fall 2012,96705,University of Hawai`i at Hilo,1,2012
235,Fall 2012,96750,Leeward Community College,2,2012
239,Fall 2012,96720,Leeward Community College,6,2012
254,Fall 2012,96709,University of Hawai`i at Manoa,4,2012
255,Fall 2012,96761,University of Hawai`i at Hilo,5,2012
263,Fall 2012,96748,Kaua`i Community College,2,2012
276,Fall 2012,96741,Leeward Community College,4,2012
277,Fall 2012,96786,Leeward Community College,10,2012
290,Fall 2012,83634,University of Hawai`i at Manoa,1,2012
292,Fall 2012,98296,University of Hawai`i at Manoa,1,2012
295,Fall 2012,96817,University of Hawai`i at Manoa,5,2012
296,Fall 2012,96733,University of Hawai`i Maui College,6,2012
297,Fall 2012,90630,University of Hawai`i at Manoa,3,2012
298,Fall 2012,96783,Hawai`i Community College,12,2012
313,Fall 2012,96707,Windward Community College,13,2012
319,Fall 2012,96825,University of Hawai`i at Manoa,4,2012
327,Fall 2012,96764,Hawai`i Community College,5,2012
328,Fall 2012,96792,Kapi`olani Community College,4,2012
332,Fall 2012,96743,University of Hawai`i at Hilo,1,2012
347,Fall 2012,96740,Leeward Community College,5,2012
355,Fall 2012,17363,University of Hawai`i at Manoa,1,2012
359,Fall 2012,96716,Kaua`i Community College,13,2012
362,Fall 2012,96782,Honolulu Community College,3,2012
369,Fall 2012,96720,Hawai`i Community College,2,2012
370,Fall 2012,96822,Kapi`olani Community College,9,2012
378,Fall 2012,96767,Kapi`olani Community College,1,2012
387,Fall 2012,96744,Kapi`olani Community College,5,2012
394,Fall 2012,96786,University of Hawai`i - West O`ahu,1,2012
395,Fall 2012,96817,University of Hawai`i at Manoa,3,2012
396,Fall 2012,96751,University of Hawai`i - West O`ahu,1,2012
397,Fall 2012,96768,University of Hawai`i at Hilo,2,2012
403,Fall 2012,96720,University of Hawai`i at Manoa,1,2012
411,Fall 2012,96778,University of Hawai`i at Manoa,12,2012
412,Fall 2012,96814,University of Hawai`i at Manoa,1,2012
416,Fall 2012,96778,University of Hawai`i at Hilo,3,2012
423,Fall 2012,96706,University of Hawai`i - West O`ahu,2,2012
424,Fall 2012,91304,University of Hawai`i at Manoa,1,2012
426,Fall 2012,96740,Hawai`i Community College,5,2012
427,Fall 2012,96752,University of Hawai`i at Manoa,8,2012
428,Fall 2012,96746,Windward Community College,4,2012
429,Fall 2012,96797,Honolulu Community College,1,2012
432,Fall 2012,96732,Honolulu Community College,2,2012
438,Fall 2012,96720,University of Hawai`i - West O`ahu,2,2012
451,Fall 2012,96768,University of Hawai`i Maui College,1,2012
456,Fall 2012,94551,University of Hawai`i at Manoa,1,2012
461,Fall 2012,96817,University of Hawai`i at Hilo,2,2012
472,Fall 2012,89148,Leeward Community College,1,2012
473,Fall 2012,94561,University of Hawai`i at Manoa,1,2012
490,Fall 2012,93455,University of Hawai`i at Manoa,1,2012
496,Fall 2012,96728,Hawai`i Community College,4,2012
510,Fall 2012,96782,Windward Community College,7,2012
523,Fall 2012,94579,University of Hawai`i at Manoa,1,2012
525,Fall 2012,98826,University of Hawai`i at Manoa,1,2012
532,Fall 2012,96783,University of Hawai`i at Hilo,6,2012
536,Fall 2012,96793,Hawai`i Community College,7,2012
