,carat,depth,table,price,x,y,z,y_train
39607,0.26,61.3,60.0,491,4.12,4.07,2.51,0
26636,2.0,61.4,57.0,16407,8.05,8.11,4.96,4
50609,0.7,60.0,55.0,2287,5.73,5.77,3.45,0
22435,1.0,62.7,54.0,10463,6.36,6.39,4.0,2
14002,1.2,62.6,58.0,5699,6.77,6.72,4.22,1
25524,2.0,61.0,57.0,14340,8.02,8.18,4.94,4
42065,0.39,59.8,55.0,1271,4.84,4.77,2.87,0
10018,1.11,61.4,57.0,4709,6.63,6.67,4.08,1
50858,0.7,61.1,57.0,2312,5.72,5.77,3.51,0
17198,1.0,62.9,55.0,6871,6.4,6.36,4.01,1
991,1.01,63.1,57.0,2896,6.39,6.35,4.02,0
31111,0.31,62.0,55.0,754,4.34,4.38,2.7,0
51439,0.81,61.4,57.0,2375,6.0,5.96,3.67,0
10376,1.2,58.5,61.0,4778,6.95,6.89,4.05,1
25595,1.7,63.5,56.0,14445,7.53,7.64,4.82,4
18496,1.51,61.2,59.0,7534,7.4,7.38,4.52,2
32178,0.39,63.4,57.0,787,4.63,4.67,2.95,0
10768,0.9,61.1,56.0,4854,6.21,6.23,3.8,1
33476,0.32,61.5,55.0,828,4.42,4.4,2.71,0
15282,1.0,61.2,60.0,6133,6.4,6.45,3.93,1
23798,1.51,60.8,57.0,11856,7.43,7.46,4.53,3
43921,0.38,61.3,59.0,513,4.62,4.68,2.85,0
14799,1.2,62.3,56.0,5955,6.76,6.81,4.23,1
30422,0.32,61.6,56.0,730,4.39,4.41,2.71,0
39331,0.51,62.1,56.0,1071,5.15,5.06,3.17,0
40932,0.3,62.1,56.0,499,4.31,4.36,2.69,0
31165,0.41,60.1,60.0,755,4.79,4.83,2.89,0
42864,0.52,63.6,62.0,1357,5.07,4.96,3.2,0
2097,0.77,62.1,56.0,3114,5.85,5.88,3.64,0
25849,2.0,59.0,62.0,14918,6.16,6.15,4.82,4
7524,1.01,59.1,59.0,4242,6.55,6.51,3.86,1
43486,0.55,60.9,56.0,1421,5.3,5.32,3.24,0
15034,0.3,62.9,57.0,605,4.28,4.31,2.7,0
21211,1.29,62.4,58.0,9354,6.89,6.86,4.29,2
49861,0.57,61.6,58.0,2172,5.39,5.35,3.31,0
8441,1.05,61.2,57.0,4410,6.62,6.55,4.03,1
46390,0.7,60.6,58.0,1764,5.73,5.82,3.5,0
13254,1.01,61.7,56.0,5478,6.42,6.47,3.98,1
16115,0.9,61.2,58.0,6441,6.27,6.25,3.83,1
24693,0.41,63.3,56.0,638,4.69,4.73,2.98,0
9460,0.92,61.2,62.0,4600,6.27,6.22,3.82,1
23858,1.5,63.9,54.0,11948,7.26,7.2,4.62,3
28606,0.3,61.3,60.0,675,4.31,4.27,2.63,0
37889,0.36,62.0,57.0,1006,4.54,4.58,2.82,0
52907,0.64,60.7,57.0,2587,5.58,5.63,3.4,0
6184,0.95,59.3,59.0,3994,6.42,6.46,3.82,1
30374,0.3,56.3,64.0,729,4.44,4.39,2.5,0
51122,0.82,66.4,54.0,2339,5.87,5.82,3.88,0
45825,0.55,61.3,59.0,1712,5.3,5.27,3.24,0
9096,1.01,60.8,61.0,4525,6.47,6.43,3.92,1
4693,1.0,63.4,60.0,3676,6.22,6.34,3.98,1
7830,1.01,61.8,56.0,4298,6.43,6.38,3.96,1
22451,1.5,61.2,61.0,10478,7.32,7.25,4.46,2
11038,0.9,61.7,57.0,4921,6.18,6.24,3.83,1
30772,0.38,62.2,57.0,741,4.61,4.66,2.89,0
17548,1.51,64.0,58.0,7062,7.27,7.24,4.64,1
3369,0.3,62.3,56.0,407,4.28,4.29,2.67,0
29212,0.31,61.8,56.0,695,4.33,4.36,2.68,0
1194,0.75,62.3,57.0,2933,5.81,5.87,3.64,0
6059,0.32,62.2,59.0,576,4.37,4.35,2.71,0
8444,1.01,63.5,59.0,4412,6.36,6.31,4.02,1
16480,1.1,62.3,55.0,6586,6.57,6.61,4.1,1
45713,0.56,62.0,56.0,1698,5.3,5.28,3.28,0
5388,0.3,62.8,56.0,574,4.32,4.28,2.7,0
30996,0.41,61.5,55.0,747,4.8,4.82,2.96,0
21181,1.58,61.7,56.0,9335,7.55,7.48,4.64,2
36341,0.32,62.4,54.0,936,4.38,4.37,2.73,0
40911,0.42,60.2,59.0,1179,4.82,4.84,2.91,0
32574,0.33,61.6,57.0,801,4.44,4.46,2.74,0
20485,1.05,60.5,57.0,8820,6.61,6.58,3.99,2
709,0.73,62.5,57.0,2855,5.7,5.75,3.58,0
4173,0.75,62.5,57.0,3555,5.8,5.85,3.64,1
5233,0.9,63.2,58.0,3787,6.05,6.1,3.84,1
34700,0.46,62.5,58.0,874,4.87,4.92,3.06,0
32161,0.34,61.2,58.0,787,4.45,4.5,2.74,0
12736,1.11,61.0,56.0,5315,6.74,6.7,4.1,1
2498,0.83,62.0,59.0,3198,6.04,5.99,3.73,0
32912,0.33,61.9,56.0,810,4.42,4.46,2.75,0
25670,1.5,59.5,58.0,14592,7.44,7.48,4.44,4
42834,0.51,61.5,54.0,1356,5.15,5.19,3.18,0
25087,1.72,61.3,59.0,13609,7.72,7.69,4.72,3
52699,0.8,63.2,54.0,2553,5.93,5.88,3.73,0
27601,2.1,63.1,55.0,18462,8.17,8.13,5.14,4
5649,0.71,61.8,56.0,3880,5.72,5.74,3.54,1
8820,1.04,58.7,62.0,4477,6.67,6.65,3.91,1
44955,0.51,62.0,61.0,1636,5.11,5.14,3.18,0
27538,2.01,61.4,56.0,18295,8.19,8.13,5.01,4
6688,1.11,61.7,63.0,4102,6.54,6.65,4.07,1
33142,0.31,60.6,57.0,816,4.38,4.4,2.66,0
41437,0.59,61.3,57.0,1228,5.37,5.4,3.3,0
6103,1.23,63.7,58.0,3977,6.72,6.79,4.3,1
7645,1.21,62.4,58.0,4268,6.83,6.79,4.25,1
4752,1.02,62.5,58.0,3686,6.4,6.47,4.02,1
41737,0.41,61.8,57.0,1243,4.8,4.75,2.95,0
24784,2.75,60.9,57.0,13156,9.04,8.98,5.49,3
5516,0.72,61.9,57.0,3849,5.72,5.75,3.55,1
29596,0.35,62.6,54.0,706,4.52,4.56,2.84,0
151,0.74,61.3,56.0,2769,5.82,5.86,3.57,0
22769,1.61,60.9,62.0,10793,7.46,7.57,4.58,2
8038,0.78,62.1,55.0,4336,5.9,5.95,3.68,1
35877,0.32,61.6,55.0,918,4.42,4.45,2.73,0
45281,0.55,61.4,56.3,1662,5.26,5.29,3.24,0
7788,0.9,62.9,56.0,4286,6.09,6.12,3.84,1
49459,0.71,62.4,59.0,2112,5.65,5.6,3.51,0
8954,0.9,62.2,59.0,4500,6.18,6.13,3.83,1
36690,0.39,62.5,60.0,951,4.67,4.64,2.91,0
13579,1.17,62.2,55.0,5556,6.73,6.7,4.18,1
27679,3.51,62.5,59.0,18701,9.66,9.63,6.03,4
4607,1.09,62.7,60.0,3662,6.57,6.51,4.1,1
43819,0.51,63.9,54.0,1443,5.09,5.05,3.24,0
8189,1.04,60.4,59.0,4368,6.59,6.55,3.97,1
32038,0.3,61.7,53.8,779,4.31,4.34,2.67,0
12209,1.22,63.1,59.0,5192,6.81,6.75,4.28,1
