,carat,depth,table,price,x,y,z,y_val
51593,0.7,62.4,61.0,2394,5.6,5.75,3.54,0
45057,0.62,55.1,66.0,1641,5.85,5.7,3.18,0
20378,0.31,61.4,58.0,625,4.32,4.37,2.67,0
36795,0.34,62.5,55.0,956,4.5,4.46,2.8,0
23002,1.47,62.7,56.0,11060,7.15,7.18,4.49,3
29725,0.31,60.5,58.0,707,4.4,4.43,2.67,0
6368,0.32,62.2,56.0,576,4.39,4.36,2.72,0
52893,0.7,58.8,58.0,2585,5.88,5.78,3.43,0
30003,0.43,62.3,56.0,716,4.83,4.86,3.02,0
27694,0.41,61.3,57.0,648,4.81,4.84,2.96,0
44238,0.52,61.8,56.0,1573,5.19,5.16,3.2,0
11679,1.0,62.1,59.0,5060,6.36,6.39,3.96,1
5392,0.3,60.9,58.0,574,4.32,4.29,2.62,0
530,0.7,62.2,58.0,2826,5.66,5.6,3.5,0
43914,0.31,62.1,55.0,513,4.34,4.36,2.7,0
7756,1.05,63.2,59.0,4281,6.43,6.36,4.04,1
152,0.71,62.5,60.0,2770,5.65,5.61,3.52,0
4298,0.78,62.0,57.0,3590,5.9,5.86,3.65,1
35533,0.3,62.4,59.0,905,4.31,4.25,2.67,0
2794,1.0,59.4,64.0,3259,6.52,6.48,3.86,0
32188,0.35,62.0,56.0,788,4.56,4.54,2.82,0
27236,2.1,61.3,58.0,17606,8.29,8.24,5.07,4
47099,0.71,64.4,56.0,1826,5.64,5.6,3.62,0
7831,1.01,61.6,59.0,4299,6.44,6.42,3.96,1
22610,1.6,61.7,56.0,10662,7.53,7.5,4.64,2
34418,0.3,60.9,58.0,863,4.32,4.35,2.64,0
38318,0.52,62.0,54.0,1019,5.17,5.19,3.21,0
13614,1.0,62.4,59.0,5571,6.36,6.42,3.99,1
40841,0.57,61.8,57.0,1173,5.31,5.34,3.29,0
8077,1.01,60.8,61.0,4338,6.5,6.45,3.94,1
52200,0.54,61.9,54.5,2479,5.22,5.25,3.23,0
7008,0.9,62.2,58.0,4157,6.11,6.18,3.82,1
15696,0.29,62.8,54.0,607,4.21,4.24,2.65,0
11312,1.0,67.0,52.0,4984,6.12,6.08,4.09,1
9618,0.93,62.4,55.0,4635,6.2,6.24,3.88,1
24204,2.01,60.3,58.0,12392,8.11,8.17,4.91,3
15173,1.01,63.3,57.0,6097,6.39,6.35,4.03,1
40751,0.4,62.4,56.0,1163,4.74,4.72,2.95,0
25684,0.33,61.2,57.0,643,4.46,4.49,2.73,0
1487,1.03,63.2,58.0,2988,6.44,6.34,4.04,0
21227,1.5,61.4,60.0,9374,7.34,7.28,4.49,2
27364,0.28,62.1,56.0,646,4.19,4.21,2.61,0
28435,0.3,62.1,57.0,670,4.3,4.33,2.68,0
48659,0.34,63.2,55.0,537,4.46,4.5,2.83,0
28916,0.3,62.0,58.0,684,4.26,4.29,2.65,0
9495,1.0,58.1,64.0,4608,6.56,6.6,3.82,1
28740,0.31,60.8,54.0,680,4.39,4.4,2.67,0
27258,2.0,61.6,59.0,17674,8.09,8.2,5.02,4
24848,1.73,61.8,58.0,13250,7.75,7.68,4.76,3
13446,1.12,61.9,57.0,5521,6.64,6.68,4.12,1
1287,0.7,61.3,60.0,2952,5.68,5.7,3.49,0
38203,0.43,61.9,55.0,1016,4.95,4.8,3.02,0
16456,1.31,64.3,59.0,6573,6.87,6.84,4.41,1
24073,2.01,57.6,60.0,12215,8.32,8.23,4.76,3
49816,0.7,65.6,55.0,2167,5.59,5.5,3.64,0
49476,0.72,62.6,60.0,2115,5.7,5.65,3.55,0
7369,1.01,63.2,58.0,4221,6.3,6.43,4.02,1
25316,1.51,62.1,55.0,13995,7.38,7.33,4.57,3
25185,1.51,62.2,53.0,13771,7.35,7.31,4.56,3
45821,0.56,63.2,61.0,1712,5.2,5.28,3.3,0
32313,0.36,60.7,58.0,789,4.57,4.62,2.79,0
52121,0.7,60.8,59.0,2463,5.75,5.7,3.48,0
39230,0.38,62.2,57.0,1067,4.63,4.66,2.89,0
13833,1.24,62.4,57.0,5638,6.82,6.9,4.28,1
